Event Code, Total, Met, Unmet, Other
364,46400000,26600000,19700000,9400000
387,356800000,157100000,199700000,104600000
347,1960000000,1380000000,583400000,1280000000
312,1500000,648814,808080,21500000
299,16500000,10200000,6300000,2100000
301,9900000,4500000,5400000,609239
306,11500000,5100000,6400000,107500000
245,8900000,1100000,7800000,826886
244,19500000,17100000,2400000,5700000
243,38700000,26600000,12100000,20900000
248,42900000,20900000,22000000,14100000
253,14500000,13100000,1400000,33900000
252,34700000,18000000,16600000,28900000
258,6000000,1300000,4700000,44600000
257,12400000,8200000,4200000,37700000
255,41500000,20400000,21100000,8100000
216,28300000,5200000,23100000,3000000
233,7500000,3700000,3800000,781193
235,28600000,13700000,14900000,10200000
234,53700000,35300000,18400000,15300000
160,37400000,17500000,19800000,25900000
586,10200000,4900000,5300000,2400000
516,38600000,21800000,16800000,20300000
248,42900000,20900000,22000000,14100000
243,38700000,26600000,12100000,20900000
630,27100000,4600000,22400000,41500000
527,139000000,86400000,52600000,52900000
305,30000000,9200000,20900000,10400000
669,50500000,15900000,34600000,7500000
522,72800000,27600000,45300000,17700000
486,421900000,282200000,139600000,253000000
440,33800000,16600000,17300000,974300000
333,38000000,15900000,22100000,61900000
247,500000,876943,0,4200000
251,37800000,21200000,16600000,30900000
217,1000000,63613,936387,263849
211,80100000,42800000,37400000,47500000
189,561300000,367700000,193600000,795500000
180,1410000000,1260000000,151700000,5000000000
